property_id,price,beds,baths,size(sqft),line,city,state,zipcode,longitude,latitude,days_ago,features
M9533411670,734000,5,4,3428,1667 Feldmus Ln,Toms River,NJ,8755,-74.207508,40.012122,23,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9197237555,734000,5,4,3428,1663 Feldmus Ln,Toms River,NJ,8755,-74.207422,40.011967,23,"basement, garage_2_or_more, two_or_more_stories"
M6623363798,734500,4,3,1800,126 Bayberry Rd,Lavallette,NJ,8735,-74.063471,39.996422,30,two_or_more_stories
M6361565295,735000,5,4,4233,64 Mill Pond Rd,Jackson,NJ,8527,-74.390806,40.131511,58,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5887210445,735000,4,4,2425,18 Kingfisher Ln,Toms River,NJ,8753,-74.110586,40.005199,14,two_or_more_stories
M9606062944,739000,3,2,1473,510 N Bay Ave Unit 2-2,Beach Haven,NJ,8008,-74.238112,39.567046,51,"basement, garage_1_or_more, single_story"
M5361070273,739000,3,4,2935,251 Enclave Blvd,Lakewood,NJ,8701,-74.228651,40.054815,86,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9525378245,739000,3,2,1473,510 N Bay Ave Unit 202,Beach Haven,NJ,8008,-74.238112,39.567046,34,"garage_1_or_more, single_story"
M6909654403,739900,4,3,1978,36 Jennie Dr,Manahawkin,NJ,8050,-74.219854,39.667618,16,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9930752615,739900,5,4,4119,7 Veronica Ct,Jackson,NJ,8527,-74.45955,40.112089,24,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6376952980,740000,4,4,2790,8 Jibsail Dr,Bayville,NJ,8721,-74.123104,39.913873,19,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6296803384,747000,4,4,3846,41 Mill Pond Rd,Jackson,NJ,8527,-74.386168,40.129545,45,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5339143377,749000,4,3,3464,38 Overlook Dr,Jackson,NJ,8527,-74.382799,40.12738,21,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5118982486,749000,4,2,2065,131 Bruce Dr,Manahawkin,NJ,8050,-74.244603,39.672513,19,"basement, garage_1_or_more, two_or_more_stories"
M5899865641,749000,4,2,4530,309 Wells Mill Rd,Waretown,NJ,8758,-74.232047,39.793362,11,"basement, garage_1_or_more, garage_2_or_more, single_story"
M5003192128,749000,3,2,1812,152 Evelyn Dr,Manahawkin,NJ,8050,-74.240649,39.672062,14,"garage_1_or_more, two_or_more_stories"
M6804573892,749000,4,4,3600,98 Waldron Rd,Toms River,NJ,8753,-74.120868,39.948331,44,"garage_1_or_more, two_or_more_stories"
M5036067690,749900,4,3,2064,631 Bayview Dr,Toms River,NJ,8753,-74.108501,40.006842,11,"garage_1_or_more, garage_2_or_more, single_story"
M5128182220,749900,4,3,3000,26 Woodhaven Rd,Toms River,NJ,8753,-74.110827,40.008904,35,"basement, garage_2_or_more, two_or_more_stories"
M9422068662,749900,3,2,1671,2200 S Ocean Ave Unit 305,Seaside Park,NJ,8752,-74.078812,39.908031,49,two_or_more_stories
M5769496779,749900,4,2,1700,211 Princeton Ave,Point Pleasant Beach,NJ,8742,-74.043832,40.097773,59,two_or_more_stories
M6743659484,750000,4,3,1756,5 Island Ct,Brick,NJ,8724,-74.106824,40.055384,16,"garage_1_or_more, two_or_more_stories"
